sistema;num_cicloe;calle_prin;calle_secu;colonia;alcaldia;latitud;longitud;sitio_de_e;estatus
Ecobici;458;Montes Urales;Volcan;Lomas de Chapultepec Seccion III;Miguel Hidalgo;19.428.679;-99.206.605;Arroyo;Instalada
Ecobici;459;Volcan;Montes Urales;Lomas de Chapultepec Seccion III;Miguel Hidalgo;19.429.243;-99.207.267;Arroyo;Instalada
Ecobici;460;Juan Vazquez de Mella;Homero;Polanco Seccion I/ Los Morales;Miguel Hidalgo;19.437.014;-99.207.932;Arroyo;Instalada
Ecobici;461;Presa Don Martin;Simon Bolivar;Irrigacion;Miguel Hidalgo;19.440.106;-99.210.031;Arroyo;Instalada
Ecobici;462;Presa Falcon;Presa Danxho;Irrigacion;Miguel Hidalgo;19.442.338;-99.205.198;Arroyo;Instalada
Ecobici;463;Lago Andromaco;Lago Zurich;Ampliacion Granada;Miguel Hidalgo;19.443.228;-99.202.492;Arroyo;Instalada
Ecobici;464;Mateo Aleman;Prolongacion Moliere;Ampliacion Granada;Miguel Hidalgo;19.442.421;-99.199.838;Arroyo;Instalada
Ecobici;465;Lago Ginebra;Lago Wetter;Cuauhtemoc Pensil;Miguel Hidalgo;19.445.039;-99.194.078;Arroyo;Instalada
Ecobici;466;Lago Onega;Lago Ladoga;Modelo Pensil;Miguel Hidalgo;1.944.269;-9.919.083;Arroyo;Instalada
Ecobici;467;Lago Mayor;Lago Alberto;Granada;Miguel Hidalgo;19.440.399;-99.186.784;Arroyo;Instalada
Ecobici;468;Lago Xochimilco;Av. Ejercito Nacional;Anahuac I Seccion;Miguel Hidalgo;1.943.726;-99.179.624;Arroyo;Instalada
Ecobici;469;Bahia De La Concepcion;Bahia de Todos Los Santos;Veronica Anzures;Miguel Hidalgo;19.434.183;-99.173.089;Arroyo;Instalada
Ecobici;470;Bahia  de las Palmas;Bahia de Todos Los Santos;Veronica Anzures;Miguel Hidalgo;19.435.039;-99.173.879;Arroyo;Instalada
Ecobici;471;Bahia de Chachalacas;Bahia de Santa Barbara;Veronica Anzures;Miguel Hidalgo;19.436.287;-99.174.888;Arroyo;Instalada
Ecobici;472;Bahia  de Santa Barbara;Bahia de Ballenas;Veronica Anzures;Miguel Hidalgo;19.437.667;-9.917.711;Arroyo;Instalada
Ecobici;473;Bahia  del Espiritu Santo;Bahia de Banderas;Veronica Anzures;Miguel Hidalgo;19.438.143;-9.917.519;Arroyo;Instalada
Ecobici;474;Bahia  de San Hipolito;Bahia del Espiritu Santo;Anahuac I Seccion;Miguel Hidalgo;19.438.984;-99.177.549;Arroyo;Instalada
Ecobici;475;Lago Muritz;Lago Alberto;Anahuac I Seccion;Miguel Hidalgo;19.439.249;-99.181.065;Arroyo;Instalada
Ecobici;476;Lago Como;Laguna de Mayran;Granada;Miguel Hidalgo;19.442.127;-99.184.433;Arroyo;Instalada
Ecobici;477;Lago Iseo;Laguna de Mayran;Anahuac I Seccion;Miguel Hidalgo;19.440.905;-99.181.743;Arroyo;Instalada
Ecobici;478;Laguna de Mayran;Lago Chalco;Anahuac I Seccion;Miguel Hidalgo;19.440.818;-99.176.961;Arroyo;Instalada
Ecobici;479;Lago Muritz;Av. Marina Nacional;Mariano Escobedo;Miguel Hidalgo;19.444.433;-99.179.664;Arroyo;Instalada
Ecobici;480;Lago Iseo;Av. Marina Nacional;Mariano Escobedo;Miguel Hidalgo;19.446.073;-99.181.654;Arroyo;Instalada
Ecobici;481;Lago Garda;Mariano Escobedo;Popotla;Miguel Hidalgo;19.449.367;-99.182.461;Arroyo;Instalada
Ecobici;482;Lago Xochimilco;Laguna de San Cristobal;Anahuac;Miguel Hidalgo;19.444.826;-99.178.393;Arroyo;Instalada
Ecobici;483;Colegio Salesiano;Av. Marina Nacional;Anahuac;Miguel Hidalgo;19.443.092;-99.177.612;Arroyo;Instalada
Ecobici;484;Laguna de Mayran;Lago Cuitzeo;Anahuac;Miguel Hidalgo;1.944.046;-99.174.564;Arroyo;Instalada
Ecobici;485;Lago de Patzcuaro;Av. Marina Nacional;Anahuac;Miguel Hidalgo;19.438.506;-99.172.696;Arroyo;Instalada
