Genero,Edad,Bici,Estacion salida,Estacion llegada,Duracion viaje en minutos
M,40.0,5021290,567,221,35.95
F,32.0,5992961,056,046,5.62
F,32.0,7387251,423,425,6.85
M,19.0,5704994,182,302,10.45
M,27.0,8332827,621,617,4.43
M,35.0,2665339,031,031,32.73
M,41.0,6551444,601,126,19.87
M,26.0,5415625,389,314,11.02
F,38.0,7668684,432,402,5.37
M,49.0,3922747,594,597,22.08
M,31.0,7933153,127,571,20.1
M,19.0,7026552,175,175,36.45
M,33.0,7546344,132,151,9.02
F,50.0,2018091,548,098,25.75
F,36.0,2561397,322,165,9.27
M,37.0,8330094,046,150,7.67
M,50.0,4231916,668,659,15.63
M,37.0,5632146,157,175,4.68
